sentence_id	person	sentence	scene	context
101	우미	뱃속에 넣기만 하면 돼요. 아주버님이랑 형님도 오신대요?	S0138	음식하느라 정신없는 주방. 전부치는 우미
102	과자	오라고 했으니 오겠지. 이걸 왜 초로 무쳤냐? 큰애 신거 안먹는거 몰라?	S0138	음식하느라 정신없는 주방. 전부치는 우미
103	우미	혼수아빤 된장 넣은거보다 새콤달콤 무치는걸 더,	S0138	음식하느라 정신없는 주방. 전부치는 우미
104	과자	오랜만에 오는 사람 비위 맞춰야지. 겉절이는?	S0138	음식하느라 정신없는 주방. 전부치는 우미
105	우미	참.	S0138	음식하느라 정신없는 주방. 전부치는 우미
106	과자	자알한다. 젊은게 벌써부터 깜빡깜빡.	S0138	음식하느라 정신없는 주방. 전부치는 우미
107	우미	애들 둘이나 낳고 살다보니 저도 모르게 자꾸 깜빡거려지네요.	S0138	음식하느라 정신없는 주방. 전부치는 우미
108	과자	다른건 몰라도 겉절일 빠뜨리면 어쩐다니? 큰애는 니신랑하고 입이 틀려.	S0138	음식하느라 정신없는 주방. 전부치는 우미
109	우미	얼른 할게요.	S0138	음식하느라 정신없는 주방. 전부치는 우미
110	남자1	거 좀 비킵시다.	S0139	충청도에서 올라오는 버스. 사람들 내리고, 그틈에 계솔이, 우아하게 내린다. 감격스런듯 휘이 둘러보는데, 뒤에서 내리려는 승객들, 계솔이에 막혀 밀린다. 아랑곳없이 폼잡는데
111	솔이	시방 뭐라 그렸시유?	S0139	충청도에서 올라오는 버스. 사람들 내리고, 그틈에 계솔이, 우아하게 내린다. 감격스런듯 휘이 둘러보는데, 뒤에서 내리려는 승객들, 계솔이에 막혀 밀린다. 아랑곳없이 폼잡는데
112	남자1	딱 가로막고 섰으니 내릴수가 없잖아요. 급해 죽겠는데,	S0139	충청도에서 올라오는 버스. 사람들 내리고, 그틈에 계솔이, 우아하게 내린다. 감격스런듯 휘이 둘러보는데, 뒤에서 내리려는 승객들, 계솔이에 막혀 밀린다. 아랑곳없이 폼잡는데
113	솔이	아자씨, 그렇게 급허면 어제 오지 그렸시유?	S0139	충청도에서 올라오는 버스. 사람들 내리고, 그틈에 계솔이, 우아하게 내린다. 감격스런듯 휘이 둘러보는데, 뒤에서 내리려는 승객들, 계솔이에 막혀 밀린다. 아랑곳없이 폼잡는데
114	과자	받아 달라고 쌩난린데 받아주지 그러냐?	S0140	겉절이하는 우미. 오골계 손질하는 과자. 우미 앞치마속 핸펀 진동. 슥 꺼내보고 기겁하는 우미. 슬쩍 눈치보고 얼른 끄는
115	우미	안받아도 돼요.	S0140	겉절이하는 우미. 오골계 손질하는 과자. 우미 앞치마속 핸펀 진동. 슥 꺼내보고 기겁하는 우미. 슬쩍 눈치보고 얼른 끄는
116	과자	안받아도 되면 핸드폰은 뭐드러 갖고 댕겨?	S0140	겉절이하는 우미. 오골계 손질하는 과자. 우미 앞치마속 핸펀 진동. 슥 꺼내보고 기겁하는 우미. 슬쩍 눈치보고 얼른 끄는
117	우미	솔직히 어머니땜에 갖고 댕기죠. 그래야 아무때나 전화받고 안답답하시잖아요.	S0140	겉절이하는 우미. 오골계 손질하는 과자. 우미 앞치마속 핸펀 진동. 슥 꺼내보고 기겁하는 우미. 슬쩍 눈치보고 얼른 끄는
118	과자	말은 좋다.	S0140	겉절이하는 우미. 오골계 손질하는 과자. 우미 앞치마속 핸펀 진동. 슥 꺼내보고 기겁하는 우미. 슬쩍 눈치보고 얼른 끄는
120	현찰	더이상 못해줘. 밑빠진 독이잖아.	S0149	들어오는 우미, 애들방앞에 걸터앉는데
121	현찰	결혼해서 지금까지 나도 할만큼 했어. 다신 처갓집 얘기 내앞에서 꺼내지도 마.	S0149	들어오는 우미, 애들방앞에 걸터앉는데
122	부동산	사장님 성함이 참 좋으시네요. 현찰. 이러니 현찰이 안들오고 배깁니까?	S0150	사장, 부동산, 현찰. 싸인하고 도장찍는 현찰. 옆에서 비서처럼 챙겨주는 태연희. 지켜보는 일동. 탁 찍고나자, 다들 흡족하게 박수치고
123	현찰	예.	S0150	사장, 부동산, 현찰. 싸인하고 도장찍는 현찰. 옆에서 비서처럼 챙겨주는 태연희. 지켜보는 일동. 탁 찍고나자, 다들 흡족하게 박수치고
124	사장	진짜 싸게 사신겁니다. 웬만하면 안넘길려고 했는데 사정이 있어서...어쨌든 돈 많이 버십시오.	S0150	사장, 부동산, 현찰. 싸인하고 도장찍는 현찰. 옆에서 비서처럼 챙겨주는 태연희. 지켜보는 일동. 탁 찍고나자, 다들 흡족하게 박수치고
125	현찰	고맙습니다.	S0150	사장, 부동산, 현찰. 싸인하고 도장찍는 현찰. 옆에서 비서처럼 챙겨주는 태연희. 지켜보는 일동. 탁 찍고나자, 다들 흡족하게 박수치고
126	부동산	그럼 나머지 잔금은 이달말까지 주시는 걸로 하고.	S0150	사장, 부동산, 현찰. 싸인하고 도장찍는 현찰. 옆에서 비서처럼 챙겨주는 태연희. 지켜보는 일동. 탁 찍고나자, 다들 흡족하게 박수치고
127	연희	날짜 챙겨서 보내드리겠습니다.	S0150	사장, 부동산, 현찰. 싸인하고 도장찍는 현찰. 옆에서 비서처럼 챙겨주는 태연희. 지켜보는 일동. 탁 찍고나자, 다들 흡족하게 박수치고
128	부동산	그돈 다 벌어서 뭐하세요? 온동네 현찰 다 긁어담으시네.	S0150	사장, 부동산, 현찰. 싸인하고 도장찍는 현찰. 옆에서 비서처럼 챙겨주는 태연희. 지켜보는 일동. 탁 찍고나자, 다들 흡족하게 박수치고
129	현찰	일찍 온다? 친구들하고 파티 안해?	S0152	휘파람불며 오는 이상. 다른쪽에서 오던 현찰. 회들고
130	이상	여자들 일중대가 쫘악 줄섰는데, 거절하느라 바빴어.	S0152	휘파람불며 오는 이상. 다른쪽에서 오던 현찰. 회들고
131	현찰	으이구. 하긴 우리집 남자들이 멋은 있지.	S0152	휘파람불며 오는 이상. 다른쪽에서 오던 현찰. 회들고
132	이상	그중에 내가 일번.	S0152	휘파람불며 오는 이상. 다른쪽에서 오던 현찰. 회들고
133	현찰	오만방자. 아부지 좋아하시드라. 그래도 우리중에 니가 젤 효자다.	S0152	휘파람불며 오는 이상. 다른쪽에서 오던 현찰. 회들고
134	이상	형만한 아우 없다고 우리집 최고 효자는 작은형이지. 큰형이야 앞으로 효자노릇 할거고.	S0152	휘파람불며 오는 이상. 다른쪽에서 오던 현찰. 회들고
135	현찰	들어가자.	S0152	휘파람불며 오는 이상. 다른쪽에서 오던 현찰. 회들고
136	이상	엄마.	S0153	NaN
137	현찰	다녀 왔습니다. 어머니, 회떠왔어요.	S0153	NaN
138	과자	잘했다. 간만에 목구멍 기름칠좀 해보자.	S0153	NaN
139	현찰	옷갈아 입고 올게요.	S0153	NaN
140	이상	우리 이쁜 전여사, 나 안보고 싶었쪄?	S0153	NaN
141	과자	우리 장한 막내. 장혀 장혀.	S0153	NaN
142	이상	아부지,	S0153	NaN
143	과자	당신이 왜 받아요? 받을려면 내가 받아야지.	S0153	NaN
144	순경	당신이 뭐한게 있다고 받어?	S0153	NaN
145	이상	울엄마 하여간.	S0153	NaN
146	과자	나도 좀 봅시다.	S0153	NaN
147	순경	휴가는 얼마나 되냐?	S0153	NaN
148	이상	휴가 반납하고 지구대 근무 신청했어요.	S0153	NaN
149	순경	지구대를? 왜?	S0153	NaN
150	이상	경찰과 서민이 가장 가깝게 만나는 곳이 지구대잖아요.	S0153	NaN
151	순경	하긴 지구대 일이 기본이지. 경찰이라면 경험해봐야지.	S0153	NaN
152	과자	휴가 맡았으면 쉴것이지 뭐한다고. 지구대는 느이 아부지한테 맡기고 너는 지구나 지켜.	S0153	NaN
153	순경	세놈들 다 경찰 됐으면 얼마나 좋아?	S0153	NaN
154	과자	또 그놈의 경찰타령. 아들 하나면 됐지 세놈다 경찰 만들어 뭐하게요? 다들 제 밥벌이하고 잘들 사는데.	S0153	NaN
155	순경	누가 밥벌이 못해서 그래? 남자로 한번 태어났으면 나라와 민족을 위해 일하는게 얼마나 가치있는 일인데.	S0153	NaN
156	과자	남은 속터져 죽겠구만. 이 똑똑한 애를 겨우 경찰 시킨걸 생각하면 잠이 안와요 잠이.	S0153	NaN
157	순경	겨우 경찰이라니?	S0153	NaN
158	과자	판검사를 시켜도 시원찮을 애를 당신땜에 경찰 맹글었잖아요.	S0153	NaN
159	과자	그때 무슨수를 써서라도 법대 보냈어야 했는데...그랬으면 지금쯤 검사되고도 남았잖아. 아유, 억울해.	S0153	NaN
160	이상	엄마, 내가 하고 싶어서 한거야. 내꿈이 경찰인데, 그까짓 검사 하나도 안부러워.	S0153	NaN
161	과자	검사가 경찰보다 높고 좋은거라매?	S0153	NaN
162	순경	그런게 어딨어? 다 제할일 따로 있는거지.	S0153	NaN
163	이상	그래도 범인은 내가 잡아. 아유, 엄마친구아들 검사돼서 열받았쪄?	S0153	NaN
164	과자	얼른 옷이나 갈아입어. 밥먹게.	S0153	NaN
165	이상	예.	S0153	NaN
166	우미	저녁 먹어.	S0154	만원권 크게 확대해 액자했고, 그밑에 <돈은 피보다 진하다.> <돈의 노예가 되지 말고 돈의 주인이 되자> <잘쓰면 약, 못쓰면 독> 지폐계수기에 돈세는 현찰. 천원짜리 만원짜리 따로 골라서. 빨간지갑에서도 몇장 빼서 세고
167	현찰	노크좀 해.	S0154	만원권 크게 확대해 액자했고, 그밑에 <돈은 피보다 진하다.> <돈의 노예가 되지 말고 돈의 주인이 되자> <잘쓰면 약, 못쓰면 독> 지폐계수기에 돈세는 현찰. 천원짜리 만원짜리 따로 골라서. 빨간지갑에서도 몇장 빼서 세고
168	우미	집에서 누가 본다고.	S0154	만원권 크게 확대해 액자했고, 그밑에 <돈은 피보다 진하다.> <돈의 노예가 되지 말고 돈의 주인이 되자> <잘쓰면 약, 못쓰면 독> 지폐계수기에 돈세는 현찰. 천원짜리 만원짜리 따로 골라서. 빨간지갑에서도 몇장 빼서 세고
169	현찰	그래도. 집에 돈 있는줄 알면 누가 노려도 노리지.	S0154	만원권 크게 확대해 액자했고, 그밑에 <돈은 피보다 진하다.> <돈의 노예가 되지 말고 돈의 주인이 되자> <잘쓰면 약, 못쓰면 독> 지폐계수기에 돈세는 현찰. 천원짜리 만원짜리 따로 골라서. 빨간지갑에서도 몇장 빼서 세고
170	우미	혼수아빠, 만약에...	S0154	만원권 크게 확대해 액자했고, 그밑에 <돈은 피보다 진하다.> <돈의 노예가 되지 말고 돈의 주인이 되자> <잘쓰면 약, 못쓰면 독> 지폐계수기에 돈세는 현찰. 천원짜리 만원짜리 따로 골라서. 빨간지갑에서도 몇장 빼서 세고
171	현찰	만약에 뭐? 돈 얘기면 아예 꺼내지도 마.	S0154	만원권 크게 확대해 액자했고, 그밑에 <돈은 피보다 진하다.> <돈의 노예가 되지 말고 돈의 주인이 되자> <잘쓰면 약, 못쓰면 독> 지폐계수기에 돈세는 현찰. 천원짜리 만원짜리 따로 골라서. 빨간지갑에서도 몇장 빼서 세고
172	우미	아니야. 밥 차릴게 나와.	S0154	만원권 크게 확대해 액자했고, 그밑에 <돈은 피보다 진하다.> <돈의 노예가 되지 말고 돈의 주인이 되자> <잘쓰면 약, 못쓰면 독> 지폐계수기에 돈세는 현찰. 천원짜리 만원짜리 따로 골라서. 빨간지갑에서도 몇장 빼서 세고
244	순경	그렇게 좋은거 다 걷어먹이는데 얼굴은 누굴닮아 이 모양이야?	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
245	과자	물어볼거 뭐 있어요? 닮을사람 닮았겠지.	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
246	순경	걔는 뭐하는 애야? 어른이 부르면 제까닥 와야지, 뭘 잘났다고 코빼기 한번 안비쳐?	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
247	과자	나중에 코빼기고 귀때기고 다 보여준대요.	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
248	순경	부모가 반대하는 결혼을 했으면 노력이라도 해야지, 이게 다 니가 못나서 그래.	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
249	과자	못난건 아니죠. 나가면 다들 잘났다고 난리들인데.	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
250	순경	당신이 얘 변호사야?	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
251	과자	다네 달어.	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
252	순경	못난놈. 마누라 단속도 못하고. 니가 이날까지 제대로 한게 뭐있냐?	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
253	순경	장남이라고 온갖 공들여서 키워놨더니 장남노릇을 제대로 해, 형노릇을 제대로 해?	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
254	과자	앞으로 하겠죠. 인생 다산것도 아닌데 벌써 계산해요?	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
255	순경	긴말필요없이 낼 당장 같이 와. 안그러면 아예 호적을 파버리고 부모자식 인연끊든가.	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
256	과자	오늘같은날 같이 오면 좀 좋아? 아부지가 말은 저렇게 하셔도 이번에 다 용서하고 받아주신다고 했어.	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
257	건강	아부지가?	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
258	과자	그래. 니들 결혼하고 몇년째 왕래도 안하고, 오늘같이 기분좋은날 며느리로 인정하고 받아들일려고 했는데...	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
259	건강	미안해 엄마. 내가 못나서 그렇지뭐.	S0162	식탁치워졌고, 과일 놓여진. 둘러앉은 순경과자건강현찰
260	우미	아버님이 형님네 받아들이실려나봐. 당신이 딱 못박아서 얘기하면 일이 금방 진행되지 않을까?	S0164	NaN
261	현찰	담에 해.	S0164	NaN
262	우미	얼굴 본김에 해. 또 언제 본다고. 한번 얘기나 해봐. 응?	S0164	NaN
263	현찰	뭐해?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
264	건강	그냥.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
265	현찰	형, 전에 우리 말했던거.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
266	건강	나중에 하자.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
267	현찰	나중에 언제? 어머니 아부지도 형수에 대해서 다 풀리신거 같고, 그래서 말인데, 이번에 형네가 들와 살면 어때?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
268	건강	지금 내 상황이 좀 그렇다.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
269	현찰	형, 나 십년이나 모시고 살았어. 십년이나 모셨으면 이젠 형이 해야되는거 아냐?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
270	건강	제수씨한텐 정말 면목없는데, 쫌만 더 봐주라.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
271	현찰	쫌만 쫌만 한게 십년째야. 나한테 다 떠넘기고 형맘대로 살고 싶은거 아니냐고.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
272	건강	무슨말이 그래? 떠넘기다니?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
273	현찰	누가 뭐래도 우리집 장남은 형이야.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
274	건강	장남 장남, 그놈의 장남 소리. 장남이라고 내가 혜택 받은거라도 있냐?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
275	현찰	그렇게 생각해?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
276	건강	말해봐. 내가 무슨 혜택을 얼마나 받았는데?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
277	현찰	형이 이렇게 나오면 섭하지. 기억안나? 형 등록금내느라 난 대학도 포기했어. 그래놓고 무슨 혜택을 받았냐고?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
278	건강	그만하자.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
279	현찰	오늘도 닭다리는 형 차지였어.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
280	건강	너 진짜? 치사하게 이렇게까지 나올래? 그게 그렇게 분하냐?	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
281	현찰	누가 지금 꼴란 닭다리 땜에 그래? 사람 말귀 제대로 알아들어.	S0165	심난하게 허공보고 선 건강. 현관으로 나오는 현찰
282	과자	저놈들이 왜 저런대.	S0166	잠든 김순경. 그옆에 자리 따로 깔던 과자. 멈추고
283	건강	너 나한테 감정 많구나. 이제 아주 막가자 이거냐?	S0167	NaN
284	현찰	할말 한거 뿐이야. 앞으로 형이 부모님 모시고 살아. 우린 분가할거야.	S0167	NaN
285	건강	그런말을 꼭 지금 해야겠냐?	S0167	NaN
286	현찰	내가 형을 언제 봐? 본김에 해야지.	S0167	NaN
287	과자	왜들 그런다니 응? 저녁 잘들먹고 먼일들이야?	S0167	NaN
288	건강	엄마, 나 갈게.	S0167	NaN
289	과자	건강아. 뭣땜에 그래? 못났건 잘났건 형은 형이야. 동생이 그러면 못써.	S0167	NaN
290	현찰	어머니 눈엔 형밖에 안보이죠? 제생각 한번 해준적 있으세요?	S0167	NaN
291	우미	당신은 빠져. 내가 알아서 할게. 형님이라도 만나서 담판짓든가.	S0168	엿들은 듯 후다닥 주방으로 튀들어온 우미. 씩씩대며 들어서는 현찰. 의식하며 치우는 우미. 찬물 따뤄마시고 잔탁 내리고 견디는 현찰
292	현찰	대화도 안되는사람 뭐하러 만나? 우리집 싫다고 왕래도 끊은 사람을.	S0168	엿들은 듯 후다닥 주방으로 튀들어온 우미. 씩씩대며 들어서는 현찰. 의식하며 치우는 우미. 찬물 따뤄마시고 잔탁 내리고 견디는 현찰
304	이상	이경장님 지금 연락됩니까?	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
305	경사	관내 업소 단속나갔으니까 바로 될겁니다.	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
306	이상	연결해주십시요.	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
307	경사	예.	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
308	이상	안됩니까? 몇번입니까?	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
309	경사	현장상황이 바쁘면 가끔 연락이 안되기도 하는데, 나중에 제가 해보겠습니다.	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
310	이상	현장근무 나가서 무전연락이 안된다는게 말이 됩니까?	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
311	경사	예. 00 지구댑니다. 예. 예. 알겠습니다.	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
312	이상	뭡니까?	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
313	경사	인근 식당에서 싸움이 났다고 신고가 들왔습니다.	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
314	이상	어딥니까? 제가 가볼테니 자리 지키십시오.	S0171	경사 바짝 긴장해서 섰고. 근무일지 찬찬히 보는 이상
315	재수	이, 이거 못놔?	S0179	뛰어온 이상 두리번. 재수 안보이고. 어딘가 납작 숨은 재수. 못보고 이리저리 보다가 사라지는 이상. 재수 안심하고 좋아하는데, 뒤에서 확 넥타이 잡아채는 손
